7787 shows imported
G ------
 s7546  |       Movie  |                                                                                     What a Girl Wants  |                  2003  |               PG  |              105 min.
  s164  |       Movie  |                                                                                    A Cinderella Story  |                  2004  |               PG  |               95 min.
  s836  |       Movie  |                                                                                  Benji: Off the Leash  |                  2004  |               PG  |              100 min.
 s1373  |       Movie  |                                                                             Christmas with the Kranks  |                  2004  |               PG  |               99 min.
 s4120  |       Movie  |                                                                                               Miracle  |                  2004  |               PG  |              136 min.
 s4425  |       Movie  |                                                                                     National Treasure  |                  2004  |               PG  |              131 min.
 s4454  |       Movie  |                                                                                       New York Minute  |                  2004  |               PG  |               91 min.
 s5667  |       Movie  |                                                                                             Sleepover  |                  2004  |               PG  |               89 min.
 s6777  |       Movie  |                                                                                       The Prince & Me  |                  2004  |               PG  |              111 min.
 s1280  |       Movie  |                                                                     Charlie and the Chocolate Factory  |                  2005  |               PG  |              115 min.
 s2488  |       Movie  |                                                                             Good Night, and Good Luck  |                  2005  |               PG  |               93 min.
 s6068  |       Movie  |                                                               The Adventures of Sharkboy and Lavagirl  |                  2005  |               PG  |               93 min.
 s7746  |       Movie  |                                                                                  Yours, Mine and Ours  |                  2005  |               PG  |               88 min.
 s4200  |       Movie  |                                                                                         Monster House  |                  2006  |               PG  |               91 min.
 s4383  |       Movie  |                                                                                           Nacho Libre  |                  2006  |               PG  |               92 min.
 s4664  |       Movie  |                                                                                           Open Season  |                  2006  |               PG  |               86 min.
 s4820  |       Movie  |                                                                                              Penelope  |                  2006  |               PG  |               89 min.
 s6543  |       Movie  |                                                                                        The Lake House  |                  2006  |               PG  |               98 min.
 s6758  |       Movie  |                                                                                      The Pink Panther  |                  2006  |               PG  |               93 min.
 s7315  |       Movie  |                                                                                  Unaccompanied Minors  |                  2006  |               PG  |               90 min.
 s7782  |       Movie  |                                                                                                  Zoom  |                  2006  |               PG  |               88 min.
  s804  |       Movie  |                                                                                             Bee Movie  |                  2007  |               PG  |               92 min.
 s1078  |       Movie  |                                                                                      Bratz: The Movie  |                  2007  |               PG  |              102 min.
 s2038  |       Movie  |                                                                                         Evan Almighty  |                  2007  |               PG  |               96 min.
 s2270  |       Movie  |                                                                                            Fred Claus  |                  2007  |               PG  |              115 min.
 s2579  |       Movie  |                                                                                             Hairspray  |                  2007  |               PG  |              116 min.
 s4495  |       Movie  |                                                                                       No Reservations  |                  2007  |               PG  |              104 min.
 s5919  |       Movie  |                                                                                             Surf's Up  |                  2007  |               PG  |               86 min.
 s5955  |       Movie  |                                                                                      Taare Zameen Par  |                  2007  |               PG  |              162 min.
 s6014  |       Movie  |                                                                          Teenage Mutant Ninja Turtles  |                  2007  |               PG  |               87 min.
 s6990  |       Movie  |                                                                   The Water Horse: Legend of the Deep  |                  2007  |               PG  |              112 min.
  s803  |       Movie  |                                                                                       Bedtime Stories  |                  2008  |               PG  |              100 min.
 s1031  |       Movie  |                                                                                                  Bolt  |                  2008  |               PG  |               99 min.
 s2943  |       Movie  |                                                                                                  Igor  |                  2008  |               PG  |               87 min.
 s3007  |       Movie  |                                                                                              Inkheart  |                  2008  |               PG  |              106 min.
 s3844  |       Movie  |                                                                           Madagascar: Escape 2 Africa  |                  2008  |               PG  |               91 min.
 s5047  |       Movie  |                                                                           R.L. Stine's Mostly Ghostly  |                  2008  |               PG  |               98 min.
 s6615  |       Movie  |                                                                                         The Longshots  |                  2008  |               PG  |               95 min.
 s6893  |       Movie  |                                                                             The Spiderwick Chronicles  |                  2008  |               PG  |               97 min.
 s1427  |       Movie  |                                                                     Cloudy with a Chance of Meatballs  |                  2009  |               PG  |               90 min.
 s1503  |       Movie  |                                                                                              Coraline  |                  2009  |               PG  |              101 min.
 s2324  |       Movie  |                                                                                               G-Force  |                  2009  |               PG  |               88 min.
 s2827  |       Movie  |                                                                                        Hotel for Dogs  |                  2009  |               PG  |              101 min.
 s2951  |       Movie  |                                                                                          Imagine That  |                  2009  |               PG  |              108 min.
 s4800  |       Movie  |                                                                                  Paul Blart: Mall Cop  |                  2009  |               PG  |               91 min.
 s4875  |       Movie  |                                                                                             Planet 51  |                  2009  |               PG  |               91 min.
 s5055  |       Movie  |                                                                                Race to Witch Mountain  |                  2009  |               PG  |               99 min.
